Cluster	rep_name	Against/Function
Cluster_163	Dap1	HNH
Cluster_164	AcrIIA33	CRISPR-Cas - Type II-A
Cluster_165	ardr	RM
Cluster_166	AcrIIC5	CRISPR-Cas - Type II-C
Cluster_167	AcrIIC8	CRISPR-Cas - Type II-C
Cluster_168	AcrIIA23	CRISPR-Cas - Type II-A
Cluster_169	AcrIC4	CRISPR-Cas - Type I-C
Cluster_170	ddra	RM
Cluster_171	AcrIIA10	CRISPR-Cas - Type II-A
Cluster_172	AcrIE1	CRISPR-Cas - Type I-E
Cluster_173	AcrIIA29	CRISPR-Cas - Type II-A
Cluster_174	AcrIC8	CRISPR-Cas - Type I-C, I-E
Cluster_175	AcrIB3	CRISPR-Cas - Type I-B
Cluster_176	AcrVA5	CRISPR-Cas - Type V-A
Cluster_177	AcrIIA1	CRISPR-Cas - Type II-A
Cluster_178	ddrb	RM
Cluster_179	AcrIE6	CRISPR-Cas - Type I-E
Cluster_180	AcrIIA20	CRISPR-Cas - Type II-A
Cluster_181	Adfm_1	DarTG;GENE REGULATION;SIGNALING PROTEIN;HYDROLASE;VIRAL PROTEIN;DE NOVO PROTEIN;STRUCTURAL GENOMICS, UNKNOWN FUNCTION;UNKNOWN FUNCTION;TRANSFERASE
Cluster_182	RT	Retron-Sen2;RNA BINDING PROTEIN/DNA/RNA;RNA BINDING PROTEIN
Cluster_183	AcrIA1	CRISPR-Cas - Type I-A;UNKNOWN FUNCTION
Cluster_184	ardk_2	RM
Cluster_185	AcrIIA25	CRISPR-Cas - Type II-A;CRISPR-Cas
Cluster_186	AcrVA4	CRISPR-Cas - Type V-A
Cluster_187	AcrIIA6	CRISPR-Cas - Type II-A;CRISPR-Cas - Type II-C
Cluster_188	Acb4	CBASS
Cluster_189	RelB	RelE/TA
Cluster_190	Adfb	DarTG
Cluster_191	5277	RelE/TA
Cluster_192	AbiEi	AbiEii/TA
Cluster_193	5061	RelE/TA
Cluster_194	5004	RelE/TA
Cluster_195	AcrIIIB2_2	CRISPR-Cas - Type III-B
Cluster_196	Adfn_t4	DarTG
Cluster_197	Gp48	DNA
Cluster_198	SSB	Klebsiella pneumoniae subsp. pneumoniae MGH 78578(Expression System: Escherichia coli BL21)
Cluster_199	bet	RECOMBINATION/DNA
Cluster_200	AcrIIC4_2	CRISPR-Cas - Type -C
Cluster_201	JSS1_004	DndFGH / CRISPR / QatABCD / SIR2+HerA
Cluster_202	BxaP	BREX/RM
Cluster_203	5021	RelE/TA
Cluster_204	AcrVA3_2	CRISPR-Cas
Cluster_205	AcrIE2	CRISPR-Cas - Type I-E
Cluster_206	AcrIF2	CRISPR-Cas - Type I-F;CRISPR-Cas - Type I-C, I-F
Cluster_207	AcrIIA16	CRISPR-Cas - Type II-A
Cluster_208	AcrIE10	CRISPR-Cas - Type I-E
Cluster_209	H_NS	CRISPR；RM
Cluster_210	gp4	H-NS(CRISPR)
Cluster_211	gp5_5	H-NS-DNA(CRISPR)
